Transaction ID , Product Name,Category,Quantity Ordered,Unit Price
25795,USB-C Hub,Electronics,4,113.0
10860,Laptop Sleeve,Electronics,3,136.11
86820,Mechanical Keyboard,Accessories,3,134.76
64886, Ergonomic Mouse ,Electronics,4,120.28
16265,Laptop Sleeve,Office Supplies,3,101.67
92386,Mechanical Keyboard,Office Supplies,UNKNOWN,26.36
47194,Mechanical Keyboard,Electronics,3,36.82
97498,Mechanical Keyboard,Office Supplies,,136.3
54131,Laptop Sleeve,Office Supplies,4,96.87
70263,Laptop Sleeve,Electronics,1,16.24
26023,Laptop Sleeve,Electronics,4,28.7
51090,USB-C Hub,Office Supplies,2,104.57
77221,Laptop Sleeve,Office Supplies,five,15.68
74820,Laptop Sleeve,Office Supplies,,36.71
10769,Laptop Sleeve,Accessories,3,
69735,USB-C Hub,Accessories,3,
72955,Laptop Sleeve,Accessories,4,103.01
74925,Mechanical Keyboard,Electronics,4,45.28
77969,Laptop Sleeve,Accessories,1,111.14
15311,Mechanical Keyboard,Electronics,,47.03
93104,Mechanical Keyboard,Electronics,4,58.93
63707,Mechanical Keyboard,Accessories,3,115.78
95305,USB-C Hub,Accessories,2,102.7
38693,USB-C Hub,Accessories,4,129.65
81932,USB-C Hub,Office Supplies,1,103.78
35658,Laptop Sleeve,Accessories,3,91.72
94478,Mechanical Keyboard,Office Supplies,4,27.65
28431,USB-C Hub,Electronics,4,64.64
12747,USB-C Hub,Office Supplies,3,50.8
69150,Laptop Sleeve,Accessories,4,47.94
75725,USB-C Hub,Electronics,3,146.36
94654,Laptop Sleeve,Electronics,,68.07
45773, Ergonomic Mouse ,Electronics,3,135.43
77435,USB-C Hub,Office Supplies,3,100.2
66886, Ergonomic Mouse ,Accessories,3,122.3
76803,Laptop Sleeve,Electronics,4,82.86
41551,Mechanical Keyboard,Electronics,4,92.88
21394,USB-C Hub,Electronics,3,81.49
79092,Laptop Sleeve,Office Supplies,4,41.36
13890,Mechanical Keyboard,Office Supplies,1,112.53
51606,Mechanical Keyboard,Accessories,1,52.9
90038, Ergonomic Mouse ,Office Supplies,4,18.28
97313,Laptop Sleeve,Electronics,4,102.14
20627,Mechanical Keyboard,Accessories,3,38.91
18792,USB-C Hub,Electronics,2,
83969,USB-C Hub,Electronics,4,ERROR_VAL
53001, Ergonomic Mouse ,Office Supplies,1,138.51
86552,Mechanical Keyboard,Accessories,3,64.97
33897,Laptop Sleeve,Office Supplies,4,17.09
78148,USB-C Hub,Office Supplies,1,140.32
